,stockName,2021-09-30,2021-10-08,isRed
3011,中天科技,58635441.0,52823982.0,False
3012,贵航股份,1765148.0,1367342.0,False
3013,长园集团,12155313.0,14977403.0,True
3014,菲达环保,24640203.0,18055539.0,False
3015,江南高纤,7705774.0,16117968.0,False
3016,中铁工业,6463493.0,6804284.0,True
3017,山东药玻,9295052.0,4318668.0,False
3018,交大昂立,4668000.0,9204521.0,False
3019,豫光金铅,26050516.0,24613922.0,False
3020,未来股份,4587989.0,2350563.0,True
3021,栖霞建设,6651600.0,7349700.0,False
3022,天士力,5253289.0,11521546.0,False
3023,中国软件,4037424.0,5372448.0,False
3024,亿晶光电,32331503.0,31349775.0,True
3025,国发股份,20278026.0,11382700.0,True
3026,狮头股份,1230900.0,862400.0,False
3027,新赛股份,69951251.0,8553780.0,False
3028,莫高股份,3553909.0,11554859.0,False
3029,卓郎智能,5056347.0,21489228.0,False
3030,山煤国际,85547318.0,66701092.0,True
3031,山东黄金,21546213.0,16254814.0,False
3032,深高速,17718773.0,15708520.0,True
3033,厦门钨业,26330042.0,19505578.0,True
3034,保变电气,48828521.0,35146708.0,True
3035,时代出版,1192232.0,1255840.0,False
3036,凯盛科技,14723900.0,15117133.0,True
3037,太行水泥,18920754.0,19667384.0,False
3038,*ST海创,5359300.0,8327200.0,False
3039,天下秀,5708289.0,5613800.0,False
3040,康缘药业,2287689.0,3316901.0,False
3041,大西洋,13495043.0,11715692.0,False
3042,老白干酒,30974292.0,35543257.0,False
3043,金自天正,1540725.0,1254501.0,False
3044,江西长运,4395400.0,6881200.0,False
3045,国睿科技,3897165.0,3900377.0,False
3046,法拉电子,2275534.0,1841077.0,True
3047,迪马股份,14597950.0,12321450.0,False
3048,济川药业,3653581.0,4011814.0,False
3049,山鹰国际,92525913.0,58798299.0,False
3050,ST中珠,4024500.0,5175980.0,False
3051,安阳钢铁,33169081.0,32065228.0,False
3052,恒生电子,20178311.0,15508031.0,False
3053,信雅达,21571943.0,33443882.0,False
3054,康恩贝,18332918.0,17215484.0,False
3055,惠泉啤酒,2815901.0,15059302.0,False
3056,淮河能源,33519878.0,57298600.0,False
3057,祥源文化,3141060.0,3690108.0,False
3058,精达股份,71028173.0,36972981.0,True
3059,京能电力,66614310.0,44753566.0,True
3060,克劳斯,7182850.0,4472900.0,True
3061,卧龙电驱,19069848.0,19875269.0,True
3062,八一钢铁,36789570.0,35467704.0,True
3063,天地科技,52034740.0,45038113.0,True
3064,海油工程,50696438.0,113132387.0,False
3065,长电科技,18596580.0,17984356.0,False
3066,海螺水泥,24199753.0,21233022.0,True
3067,金晶科技,35002285.0,37999751.0,True
3068,新华医疗,7226459.0,7250077.0,True
3069,用友网络,15869987.0,17095330.0,False
3070,ST榕泰,9464685.0,6854178.0,False
3071,泰豪科技,8715696.0,7811905.0,False
3072,*ST上航,39445996.0,42819712.0,False
3073,龙溪股份,2499015.0,2417918.0,False
3074,*ST圣亚,479560.0,717383.0,False
3075,益佰制药,14790158.0,18824329.0,False
3076,*ST中孚,31933190.0,21729724.0,True
3077,新安股份,49445875.0,43375210.0,True
3078,光明乳业,17788533.0,25434431.0,False
3079,北大荒,17587838.0,56262269.0,False
3080,ST熊猫,1382469.0,528910.0,False
3081,青岛啤酒,4692874.0,8424050.0,False
3082,ST方科,9549360.0,9862178.0,False
3083,云赛智联,6178254.0,5645080.0,False
3084,广汇物流,3262816.0,3892856.0,False
3085,市北高新,5500094.0,4695343.0,False
3086,汇通能源,698460.0,693520.0,False
3087,绿地控股,47736453.0,36074136.0,True
3088,上实医药,16970044.0,13907321.0,False
3089,ST沪科,739003.0,1047976.0,False
3090,金杯汽车,7778546.0,6342240.0,False
3091,中毅达,7855352.0,8017178.0,True
3092,大众交通,5137090.0,3292750.0,False
3093,老凤祥,845953.0,977095.0,False
3094,神奇制药,6160230.0,7184060.0,False
3095,退市鹏起,55956753.0,70961991.0,False
3096,*ST丰华,525669.0,448200.0,True
3097,金枫酒业,15814629.0,17450053.0,False
3098,国新能源,11787818.0,16897797.0,False
3099,氯碱化工,35251333.0,33490961.0,True
3100,海立股份,2627934.0,2453829.0,True
3101,天宸股份,2502252.0,2249237.0,True
3102,华鑫股份,5854332.0,5143449.0,True
3103,光大嘉宝,6462807.0,5931155.0,False
3104,华谊集团,18243119.0,21421576.0,True
3105,复旦复华,4564152.0,4604918.0,False
3106,申达股份,3044500.0,3271993.0,False
3107,上电股份,9384595.0,9778849.0,False
3108,新世界,1685801.0,1913701.0,False
3109,华建集团,655306.0,780144.0,False
3110,龙头股份,1901900.0,5347432.0,False
3111,百联股份,6502250.0,8984360.0,True
3112,浙数文化,3256879.0,4334208.0,False
3113,退市富控,29993814.0,33250007.0,True
3114,大众公用,33162099.0,37417277.0,False
3115,国新文化,3518980.0,4891771.0,False
3116,东方明珠,6771971.0,6988359.0,False
3117,新黄浦,1032376.0,1321877.0,False
3118,浦东金桥,2688840.0,3021425.0,True
3119,新国脉,1758860.0,2454736.0,False
3120,万业企业,19786424.0,16293827.0,True
3121,申能股份,108553646.0,113575745.0,True
3122,爱建集团,8388647.0,7755472.0,False
3123,乐山电力,60454583.0,75184298.0,False
3124,中源协和,9316503.0,8605456.0,True
3125,同达创业,577401.0,777801.0,False
3126,外高桥,2488005.0,2043463.0,False
3127,城投控股,11373120.0,12734929.0,False
3128,锦江在线,700400.0,929600.0,False
3129,飞乐音响,5016191.0,4710583.0,False
3130,*ST游久,3646746.0,3764572.0,False
3131,申华控股,20030502.0,33260127.0,False
3132,ST中安,2897610.0,4850192.0,False
3133,豫园股份,7643688.0,12776565.0,False
3134,退市博元,13468493.0,19750009.0,False
3135,信达地产,4725994.0,3724799.0,False
3136,电子城,5466021.0,4193000.0,False
3137,*ST花雕,7997088.0,9166433.0,False
3138,福耀玻璃,15454502.0,20932209.0,False
3139,昂立教育,2478978.0,3064922.0,False
3140,强生控股,3414136.0,4114200.0,False
3141,陆家嘴,3652825.0,3862295.0,False
3142,哈药股份,15500836.0,29051897.0,False
3143,天地源,7249323.0,7189583.0,False
3144,ST瑞德,5013103.0,7120620.0,False
3145,太极实业,15359779.0,12155646.0,False
3146,尖峰集团,2885451.0,2649241.0,False
3147,ST目药,262191.0,218300.0,True
3148,*ST华圣,1147600.0,11108166.0,False
3149,东阳光,65441865.0,46871319.0,True
3150,川投能源,31655799.0,27280186.0,True
3151,中华企业,5319770.0,4549114.0,True
3152,交运股份,2686105.0,2963155.0,False
3153,*ST航通,1330300.0,6655500.0,False
3154,四川金顶,8350027.0,11556554.0,False
3155,上海凤凰,2750800.0,2344495.0,False
3156,*ST上普,3166413.0,4646330.0,False
3157,百川能源,18165110.0,16299124.0,False
3158,南京新百,5636583.0,8521285.0,False
3159,京投发展,44621157.0,35682999.0,True
3160,珠江股份,6936987.0,10593076.0,False
3161,中船防务,6326788.0,10500527.0,True
3162,金龙汽车,4887096.0,4238400.0,False
3163,退市刚泰,14015594.0,17928100.0,True
3164,上海石化,69847234.0,88186456.0,True
3165,上海三毛,1326610.0,4634085.0,False
3166,海尔智家,33770003.0,29493772.0,False
3167,阳煤化工,101669576.0,105034469.0,True
3168,亚通股份,2526710.0,2321801.0,False
3169,东百集团,1923117.0,2031546.0,False
3170,大商股份,2049126.0,2869480.0,False
3171,*ST绿庭,10101357.0,2947560.0,False
3172,岩石股份,3215527.0,2715596.0,True
3173,欧亚集团,399800.0,682400.0,False
3174,湖南天雁,11267812.0,11501200.0,False
3175,均胜电子,15596324.0,26137477.0,True
3176,*ST数码,400300.0,1126100.0,False
3177,退市工新,28241911.0,26280106.0,False
3178,舍得酒业,9921607.0,16592251.0,False
3179,三安光电,69233950.0,90125163.0,False
3180,物产中大,106017582.0,110434782.0,False
3181,中航产融,27306403.0,28387412.0,False
3182,曲江文旅,1777380.0,2473018.0,False
3183,彩虹股份,29057100.0,32069023.0,True
3184,光明地产,6927483.0,8708649.0,False
3185,苏美达,19625795.0,20044040.0,True
3186,盛屯矿业,105501223.0,111235241.0,True
3187,南宁百货,3880360.0,5290700.0,False
3188,南京医药,6472500.0,7981581.0,False
3189,金瑞矿业,6918202.0,5003332.0,True
3190,文投控股,12250652.0,16740604.0,False
3191,凤凰股份,2865266.0,3335600.0,False
3192,天津港,20157543.0,21478782.0,False
3193,东软集团,7387900.0,6970783.0,False
3194,大连热电,25833017.0,41480233.0,False
3195,祁连山,8323525.0,11081698.0,True
3196,*ST百花,3620201.0,3438273.0,False
3197,金牛化工,30036646.0,25103629.0,True
3198,首商股份,6575311.0,11495865.0,True
3199,宁波富达,2728500.0,2345301.0,False
3200,云维股份,26417054.0,42294775.0,True
3201,华电能源,64116277.0,33165420.0,True
3202,鲁北化工,23429350.0,21106864.0,True
3203,佳都科技,13939679.0,40230847.0,False
3204,重庆百货,849769.0,1532521.0,False
3205,中国高科,13948709.0,15231697.0,True
3206,湖南海利,3971771.0,3620151.0,False
3207,爱旭股份,20705801.0,16621316.0,True
3208,北汽蓝谷,196845258.0,143053737.0,False
3209,*ST实达,26947023.0,12185574.0,False
3210,新华锦,3624000.0,6150162.0,False
3211,苏州高新,3423359.0,3494049.0,False
3212,中粮糖业,21081066.0,46020715.0,False
3213,丽尚国潮,2096275.0,2947300.0,False
3214,辽宁成大,20889776.0,14945947.0,False
3215,山西焦化,106285513.0,91645093.0,True
3216,华域汽车,9269224.0,16554960.0,False
3217,一汽富维,3159565.0,4362395.0,False
3218,华远地产,7171129.0,6114020.0,False
3219,华银电力,78957555.0,59584602.0,True
3220,闻泰科技,7297501.0,7309975.0,True
3221,江苏索普,8267128.0,7616001.0,True
3222,退市大控,35552872.0,66735780.0,False
3223,上实发展,4716683.0,4056800.0,False
3224,西藏旅游,3100600.0,3891000.0,False
3225,江中药业,5939811.0,5590462.0,False
3226,海航科技,50876980.0,36619524.0,False
3227,*ST哈慈,3772823.0,3405621.0,True
3228,东方银星,7054695.0,4800940.0,True
3229,锦江酒店,6120232.0,6945117.0,False
3230,厦门国贸,37172389.0,47206130.0,False
3231,浪潮软件,2515404.0,2642644.0,False
3232,长江传媒,5477824.0,4466587.0,False
3233,辽宁能源,36259840.0,25198400.0,True
3234,洲际油气,145429783.0,198054727.0,False
